year,duty_per_stick_sen,duty_type,notes
2004,8,specific,Pre-reform era
2005,8,specific,
2006,8,specific,
2007,10,specific,Rate increase
2008,10,specific,
2009,10,specific,
2010,10,specific,
2011,12,mixed,"Mixed specific + ad valorem introduced"
2012,12,mixed,
2013,12,mixed,
2014,12,mixed,
2015,20,mixed,"Major hike: +67% increase"
2016,40,specific,"Shift to pure specific duty; doubled again"
2017,40,specific,
2018,40,specific,Tax moratorium begins
2019,40,specific,
2020,40,specific,
2021,40,specific,
2022,40,specific,
2023,40,specific,
2024,40,specific,
2025,42,specific,"Budget 2026: +2 sen per stick"
